time,longitude,latitude,snr_[MJ/m2],tp_[mm],ro_[m],sm_[m3/m3],le_[W/m2],t2m_[K]
2008-02-19,8.125,48.125,2.3787045,1.6653345e-13,4.8092395e-05,0.37360972,12.940877738098303,274.4089
2008-02-20,8.125,48.125,1.8556244,3.0561764,5.1349994e-05,0.38150615,12.791812488878215,276.67557
2008-02-21,8.125,48.125,0.66713184,4.24954,5.2866963e-05,0.39873463,12.642747239658126,279.6001
2008-02-22,8.125,48.125,2.5661569,0.353311,4.6915036e-05,0.41281033,12.493681990438038,280.85873
2008-02-23,8.125,48.125,3.7846267,0.41508237,4.6108195e-05,0.4116713,12.344616741217948,281.57178
2008-02-24,8.125,48.125,3.5588768,1.6653345e-13,4.5426328e-05,0.4081121,12.19555149199786,282.51294
2008-02-25,8.125,48.125,1.7970821,0.00095112715,4.4680393e-05,0.4037574,12.046486242777771,281.84976
2008-02-26,8.125,48.125,3.9116051,4.920534,5.034319e-05,0.41162196,11.897420993557683,282.37042
2008-02-27,8.125,48.125,2.9365287,3.0920715,4.835799e-05,0.4196275,11.910005921015033,279.27637
2008-02-28,8.125,48.125,3.3761125,0.10693074,4.3279884e-05,0.41276914,11.922590848472383,278.58322
2008-02-29,8.125,48.125,2.7641351,7.6963243,5.593545e-05,0.42216697,11.935175775929734,282.6369
2008-03-01,8.125,48.125,4.0588427,14.334185,0.00013272763,0.43871537,11.947760703387083,282.3788
2008-03-02,8.125,48.125,1.1551914,4.4398456,4.9467926e-05,0.43934923,11.960345630844433,281.77664
2008-03-03,8.125,48.125,2.2046995,9.031988,6.1599305e-05,0.44084215,11.972930558301783,279.67767
2008-03-04,8.125,48.125,2.3568077,7.7989993,4.637653e-05,0.4432513,11.985515485759134,274.18854
2008-03-05,8.125,48.125,4.568982,1.806265,4.235871e-05,0.43708235,11.998100413216484,271.93692
2008-03-06,8.125,48.125,4.6141276,0.0,4.263759e-05,0.42720276,12.322892952296469,271.0243
2008-03-07,8.125,48.125,5.159961,0.24336709,4.363558e-05,0.42200485,12.647685491376452,274.57584
2008-03-08,8.125,48.125,2.9679286,2.3015919,4.6549427e-05,0.42500257,12.972478030456436,276.49652
2008-03-09,8.125,48.125,5.014917,0.4656869,4.4638567e-05,0.423642,13.297270569536419,278.58075
2008-03-10,8.125,48.125,4.570173,4.5057592,4.9393602e-05,0.42824358,13.622063108616404,280.12872
2008-03-11,8.125,48.125,5.613912,6.0717077,5.4470725e-05,0.43482596,13.946855647696388,279.66373
2008-03-12,8.125,48.125,3.9534862,22.305374,0.0002949872,0.44513234,14.271648186776371,281.12442
2008-03-13,8.125,48.125,3.4217358,3.1062925,5.0413324e-05,0.4444518,14.596440725856356,278.47943
2008-03-14,8.125,48.125,1.676423,6.9203176,6.7137844e-05,0.4420941,14.897442974702074,281.4484
2008-03-15,8.125,48.125,7.257172,0.29506952,4.8058246e-05,0.4336289,15.198445223547793,283.38818
2008-03-16,8.125,48.125,5.29718,7.5278087,6.442144e-05,0.4382742,15.499447472393511,281.315
2008-03-17,8.125,48.125,2.2710145,11.056662,8.916093e-05,0.4443017,15.800449721239229,277.71317
2008-03-18,8.125,48.125,6.7703495,0.066065826,5.24736e-05,0.43610582,16.10145197008495,274.9825
2008-03-19,8.125,48.125,5.8273177,1.4783677,5.4681757e-05,0.43246585,16.402454218930668,273.5476
2008-03-20,8.125,48.125,6.0089407,3.035938,5.5866636e-05,0.4328196,16.703456467776384,273.79266
2008-03-21,8.125,48.125,0.46824893,25.282808,6.277541e-05,0.44560164,17.004458716622104,273.77844
2008-03-22,8.125,48.125,3.5688877,3.4716475,6.1223705e-05,0.44760513,17.61116087436676,273.8616
2008-03-23,8.125,48.125,5.1170716,2.778391,5.6638306e-05,0.44402322,18.217863032111413,270.63126
2008-03-24,8.125,48.125,4.3168206,3.3818228,5.5985638e-05,0.43995905,18.824565189856067,269.5335
2008-03-25,8.125,48.125,5.965651,5.7206993,5.5468074e-05,0.43983713,19.431267347600723,271.94714
2008-03-26,8.125,48.125,3.9974544,1.7101035,6.060934e-05,0.4357923,20.03796950534538,274.81918
2008-03-27,8.125,48.125,5.5238004,1.9542494,6.501007e-05,0.43392292,20.644671663090033,276.46945
2008-03-28,8.125,48.125,8.941846,1.8399469,6.9819005e-05,0.43032187,21.251373820834687,278.55966
